,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
301,Todd Frazier,10,115,408,54,87,18,0,18,59,48,112,9,4,.213
302,Jake Marisnick,8,103,213,34,45,8,1,10,28,15,84,6,2,.211
303,Kevin Plawecki,6,79,238,33,50,13,2,7,30,28,65,0,1,.210
304,Carlos Gomez,13,118,360,42,75,15,2,9,32,25,103,12,3,.208
 ,Matt Joyce,13,83,207,34,43,9,0,7,15,35,53,0,2,.208
 ,Kole Calhoun,9,137,491,71,102,18,2,19,57,53,133,6,2,.208
307,Christian Vazquez,6,80,251,24,52,10,0,3,16,13,41,4,1,.207
 ,JaCoby Jones,5,129,429,54,89,22,6,11,34,24,142,13,5,.207
309,Chris Owings,8,106,281,34,58,15,0,4,22,24,75,11,4,.206
 ,Dixon Machado,4,67,214,20,44,13,1,1,21,14,41,1,1,.206
 ,Joey Gallo,6,148,500,82,103,24,1,40,92,74,207,3,4,.206
312,Jose Bautista,15,122,325,52,66,18,0,13,48,67,111,4,3,.203
313,John Ryan Murphy,8,87,208,19,42,9,0,9,24,11,71,0,0,.202
 ,Mikie Mahtook,5,67,223,24,45,4,2,9,29,21,66,4,1,.202
315,Mike Zunino,8,113,373,37,75,18,0,20,44,24,150,0,0,.201
 ,Jake Bauers,2,96,323,48,65,22,2,11,48,54,104,6,6,.201
317,Jace Peterson,7,96,210,21,42,13,2,3,28,31,58,13,3,.200
318,Luis Valbuena,11,96,266,23,53,9,0,9,33,19,100,3,0,.199
 ,Miguel Sano,6,71,266,32,53,14,0,13,41,31,115,0,0,.199
 ,Greg Bird,4,82,272,23,54,16,1,11,38,30,78,0,0,.199
 ,Lewis Brinson,4,109,382,31,76,10,5,11,42,17,120,2,1,.199
322,Adam Duvall,7,138,384,48,75,20,0,15,61,37,117,2,2,.195
323,Russell Martin,14,90,289,37,56,8,0,10,25,56,82,0,3,.194
324,Jose Reyes,16,110,228,30,43,12,3,4,16,22,39,5,2,.189
 ,Jarrod Dyson,11,67,206,29,39,4,2,2,12,27,34,16,3,.189
326,Logan Morrison,11,95,318,41,59,13,0,15,39,34,80,1,0,.186
 ,Gary Sanchez,6,89,323,51,60,17,0,18,53,46,94,1,0,.186
328,Aaron Altherr,6,105,243,28,44,11,1,8,38,36,91,3,2,.181
329,Dexter Fowler,13,90,289,40,52,10,0,8,31,38,75,5,2,.180
330,Sandy Leon,9,89,265,30,47,12,0,5,22,15,75,1,0,.177
331,Chris Davis,13,128,470,40,79,12,0,16,49,41,192,2,0,.168
