"Season","PA","vFA","vFC","vFS","vSI","vCH","vSL","vCU","vCS","vKN","vSB"
"2007","188623","91.1","86.4","83.9","90.3","82.0","83.5","77.0","73.1","68.8","78.6"
"2008","187631","91.8","86.6","84.0","90.6","82.2","83.3","76.7","71.9","68.9","67.8"
"2009","187079","92.2","87.1","83.9","91.0","82.6","83.5","77.0","73.8","69.3","67.1"
"2010","185553","92.3","87.5","84.7","91.0","82.6","83.7","77.1","73.5","72.0","66.4"
"2011","185245","92.6","87.9","84.6","91.3","83.1","84.0","77.6","73.6","71.8","69.5"
"2012","184179","92.7","88.0","84.6","91.5","83.4","83.9","77.8","71.2","77.9","77.8"
"2013","184872","92.9","88.4","84.4","91.8","83.6","84.0","78.1","72.5","76.2","79.4"
"2014","183928","93.1","88.7","84.7","91.9","84.0","84.4","78.3","72.1","76.2","87.1"
"2015","183627","93.3","88.5","84.7","92.1","84.1","84.6","78.7","71.0","75.9","85.7"
"2016","184577","93.4","88.8","84.7","92.3","84.2","84.7","78.5","72.5","75.1",""
"2017","185295","93.5","88.9","84.6","92.3","84.4","84.7","78.8","71.8","77.0",""
"2018","185139","93.2","88.7","84.8","92.3","84.3","84.4","78.9","68.8","75.7","76.0"
"2019","186516","93.5","88.6","85.0","92.5","84.6","84.6","79.0","68.8","74.2","80.1"
"2020","66506","93.5","88.2","85.2","92.7","84.6","84.3","79.3","71.7","59.6",""
"2021","181817","93.8","88.5","85.9","93.1","84.9","84.7","79.3","72.6","73.7","77.4"
